variable_id,variable_name,standard_name,variable_source,variable_units,notes,standard_unit
1,datetime,,common,time,Date time stamp usually understood to be in GMT time zone when time zone is not specified. Ideally the format after ISO8601 as yyyy-mm-dd hh:mm:ss,
2,longitude,longitude,common,degree,Decimical degree,degree_east
3,latitude,latitude,common,degree,Decimical degree,degree_north
4,pressure,sea_water_pressure,common,psi,Pressure expressed as pound-force per square inch,dbar
5,depth,depth,common,meter,"Depth in meter usually converted from pressure measurements",meter
6,temperature,sea_water_temperature,common,Celsius,"External sensor temperature usually water temperature in Celsius",K
7,internalTemperature,,common,Celsius,"Internal sesnor temperature usually body cavity temperature in Celsius",
8,light,,common,unitless,"Measured blue or green light on a logarithmic scale. Usually expressed as unitless by Wildlife Computers (light sensor in W cm-2) Lotek and Microwave Telemetry (light sensor in Lux) tags. Also termed as relative light levels.",
9,accelX,,common,G,Acceleration in the X-axis expressed as gravitational force (1 G ~ 9.8 ms-2),
10,accelY,,common,G,Acceleration in the Y-axis expressed as gravitational force (1 G ~ 9.8 ms-2),
11,accelZ,,common,G,Acceleration in the Z-axis expressed as gravitational force (1 G ~ 9.8 ms-2),
12,accelM,,common,G,Magnitude of acceleration expressed as gravitational force (1 G ~ 9.8 ms-2),
13,accelMdelta,,common,G,Change in magnitude of acceleration,
14,magX,,common,nT,Magnetic field strength in the X-axis as nanotesla,
15,magY,,common,nT,Magnetic field strength in the Y-axis as nanotesla,
16,magZ,,common,nT,Magnetic field strength in the Z-axis as nanotesla,
17,oxygen,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,common,ml L-1,Dissolved oxygen expressed in milliter per liter,mol m-3
18,OxySat,fractional_saturation_of_oxygen_in_sea_water,common,Percent,Oxygen saturation in percent,1
19,longitudeError,,common,degree,Confidence interval is bound by +/- this number,
20,latitudeError,,common,degree,Confidence interval is bound by +/- this number,
34,argosLC,,common,unitless,Location class to determine quality of Argos position.,
35,argosErrMaj,,common,meter,length in meters of position error along semi-major elliptical axis (one half of the major axis),
36,argosErrMin,,common,meter,length in meters of position error along semi-minor elliptical axis (one half of the minor axis),
37,argosErrOrient,,common,degree,The angle in degrees of the ellipse from true north proceeding north to east (clockwise) from 0 to 180,
21,salinity,,common,PSU,"Salinity expressed as Practical Salinity Unit which is  is equivalent to per thousand or (o/00) or to g/kg",
22,conductivity,,common,S m-1,"Conductivity expresed as Siemens (S) per meter which is equivalent to mS/cm",
23,sst,sea_surface_temperature,common,Celsius,Sea surface temperature,K
24,solarVoltage,,Desert Star,volts,"For Desert Star tags mean Solar Panel Voltage in SDPT_3DSN2 packet. (light intensity ~100 Lux/V)",
25,heartrate,,Star Oddi,BPM,"Heart rate measured as beats per minute (BPM)",
26,tiltX,,Star Oddi,degree,Tilt in the X-axis,
27,tiltY,,Star Oddi,degree,Tilt in the Y-axis,
28,tiltZ,,Star Oddi,degree,Tilt in the Z-axis,
29,pitch,,Wildlife Computers,degree,Counterclockwise rotation of the tag about its Y axis. This value is given in degrees from -90 to +90 (where a horizontal tag reads 0 degrees).,
30,roll,,Wildlife Computers,degree,Counterclockwise rotation of the tag about its X axis. This value is given in degrees from -180 to +180 (where a tag flat on its base reads 0 degrees).,
31,heading,,Wildlife Computers,degree,Direction in which the nose of the tag is pointing. The value is expressed in degrees on a scale from 0 to 360. Magnetic North corresponds to a reading of 0 with a clockwise rotation increasing the value (consistent with navigational headings).,
32,magDip,,Wildlife Computers,degree,"angle at which the earth’s magnetic flux lines enter the earth’s surface. This value is given in degrees from -90 to +90 with 0 being completely horizontal to the earth’s surface. +90 corresponds to the tag resting directly over the magnetic north pole while a -90 reading means the tag is over the magnetic south pole.",
33,stomachTemperature,,Wildlife Computers,Celsius,"Stomach temperature usually measured by an ingested logger",
1001,frequency,,aggregation,unitless,Frequency takes only a value between 0 and 1,
1002,percentage,,aggregation,percent,Takes a value between 0 and 100,
1003,count,,aggregation,number,"Total number of times this particular data item was received verified or successfully decoded.",
1004,depthMin,,aggregation,meter,Mean depth in a series of measurements,
1005,depthMax,,aggregation,meter,Maximum depth in a series of measurements,
1006,depthMean,,aggregation,meter,Minimum depth in a series of measurements,
1007,depthMedian,,aggregation,meter,Median depth in a series of measurements,
1008,depthStDev,,aggregation,meter,Standard deviation of depth measurements,
1026,depthRes,,aggregation,meter,Resolution of depth measurements (e.g. +/- 1 m),
1009,depthSunrise,,Microwave Telemetry,meter,Depth occupied at sunset.  Light levels are analyzed onboard the tag with manufacturer algorithm to determine the time of sunrise and sunset each day.,
1010,depthSunset,,Microwave Telemetry,meter,Depth occupied at sunrise.  Light levels are analyzed onboard the tag with manufacturer algorithm to determine the time of sunrise and sunset each day.,
